Taxon,EPBC Act listed,NSW listed,WA listed,VIC listed,SA listed,QLD listed,TAS listed,ACT listed,Endemic NSW,Endemic SA,Endemic WA,Endemic VIC,Endemic QLD,Endemic TAS,Endemic ACT,All other taxa,Proportion of range map burnt,Proportion of SNES range map burnt (EPBC Act species only) ,Proportion of point locations burnt,high fire frequency ranking,cumulative fire risk ranking
Beyeria sulcata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.050699306,NA,0,LOW,DD
Beyeria sulcata var. brevipes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.096240324,NA,0.055555556,LOW,DD
Beyeria sulcata var. gracilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.077871153,NA,0.047619048,LOW,DD
Beyeria sulcata var. sulcata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.045408422,NA,0.024390244,LOW,DD
Beyeria sulcata var. truncata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,NONE,NONE
Beyeria villosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Beyeria viscosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.040502072,NA,0.021008403,LOW,LOW
Bidens subalternans var. araneosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000136483,NA,0,LOW,DD
Billardiera coriacea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.044038018,NA,0.066666667,LOW,DD
Billardiera cymosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.007126705,NA,0,LOW,DD
Billardiera cymosa subsp. cymosa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.018980437,NA,0.026119403,LOW,DD
Billardiera drummondii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.022471648,NA,0.173333333,LOW,MEDIUM
Billardiera floribunda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.017487301,NA,0.028846154,LOW,DD
Billardiera fraseri,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.017112544,NA,0.02631579,LOW,DD
Billardiera fusiformis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.051668833,NA,0.023738872,LOW,DD
Billardiera heterophylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.077012168,NA,0.053475936,LOW,DD
Billardiera laxiflora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.019385173,NA,0.029850746,LOW,DD
Billardiera lehmanniana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.076431651,NA,0.016949153,LOW,DD
Billardiera longiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.137936994,NA,0.06122449,LOW,DD
Billardiera macrantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.141522806,NA,0.056074766,LOW,DD
Billardiera mutabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.182976978,NA,0.268292683,LOW,DD
Billardiera nesophila,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.10E-06,NA,0,NONE,DD
Billardiera ovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.38E-04,NA,0,NONE,DD
Billardiera rubens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.122140018,NA,0.17948718,LOW,DD
Billardiera scandens,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.168577922,NA,0.165605096,LOW,DD
Billardiera sericophora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.007068502,NA,0.007936508,LOW,DD
Billardiera sp. Yorke Peninsula (P.C.Heyligers 80164),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.031235079,NA,0,NONE,DD
Billardiera speciosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.014198562,NA,0,LOW,DD
Billardiera uniflora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.133616677,NA,0.35,LOW,DD
Billardiera variifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.022829444,NA,0.004166667,LOW,DD
Billardiera venusta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.037144571,NA,0.030612245,LOW,DD
Billardiera versicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005548069,NA,0.009615385,LOW,DD
Billardiera viridiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,NONE,NONE
Biophytum petersianum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Bischofia javanica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001574929,NA,0,LOW,DD
Blackallia nudiflora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.36E-04,NA,0,LOW,DD
Blainvillea acmella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blainvillea calcicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blainvillea cunninghamii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blancoa canescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.014849292,NA,0,LOW,DD
Blandfordia cunninghamii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.379522847,NA,0.153846154,LOW,DD
Blandfordia grandiflora,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.262176148,NA,0.228915663,LOW,DD
Blandfordia nobilis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.176021759,NA,0.171428571,LOW,DD
Blandfordia punicea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.004884626,NA,0,NONE,DD
Bleasdalea bleasdalei,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.92E-04,NA,0,LOW,DD
Blechnum ambiguum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.294126977,NA,0.338235294,LOW,DD
Blechnum articulatum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.003224457,NA,0,LOW,DD
Blechnum camfieldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158044618,NA,0.063829787,LOW,DD
Blechnum cartilagineum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.057240557,NA,0.129380054,LOW,DD
Blechnum cartilagineum x Blechnum medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Blechnum chambersii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.095422117,NA,0.057377049,LOW,DD
Blechnum dissectum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.010177274,NA,0.1,LOW,DD
Blechnum doodianum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00125,NA,0,NONE,DD
Blechnum fluviatile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.089502944,NA,0.058823529,LOW,DD
Blechnum gregsonii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.402446509,NA,0.307692308,LOW,DD
Blechnum hindii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.195661763,NA,0,LOW,DD
Blechnum lineare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130210018,NA,0.034482759,LOW,DD
Blechnum maximum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.347622602,NA,0,LOW,DD
Blechnum medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.029624688,NA,0.125,LOW,DD
Blechnum minus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095287358,NA,0.085616438,LOW,DD
Blechnum neglectum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.005654266,NA,0,LOW,DD
Blechnum neohollandicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.101586799,NA,0.293604651,LOW,DD
Blechnum norfolkianum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NONE,NONE
Blechnum nudum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.117861425,NA,0.177387914,LOW,DD
Blechnum orientale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.91E-04,NA,0,LOW,DD
Blechnum parrisiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.044827428,NA,0.112759644,LOW,DD
Blechnum patersonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.075341904,NA,0.207792208,LOW,DD
Blechnum patersonii subsp. patersonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158949189,NA,0.307189543,LOW,DD
Blechnum patersonii subsp. queenslandicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090349524,NA,0.142857143,LOW,DD
Blechnum pennamarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16649192,NA,0.12195122,LOW,DD
Blechnum pennamarina subsp. alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.199190089,NA,0.151515152,LOW,DD
Blechnum reticulatum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Blechnum rupestre,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.030846558,NA,0.137195122,LOW,DD
Blechnum vulcanicum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005900584,NA,0,NONE,DD
Blechnum wattsii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.181712858,NA,0.161033797,LOW,DD
Blechnum whelanii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00286422,NA,0,LOW,DD
Blechnum wurunuran,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00699312,NA,0,LOW,DD
Blennodia canescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.44E-06,NA,0,NONE,DD
Blennodia pterosperma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.43E-05,NA,0,NONE,DD
Blennospora doliiformis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.34E-04,NA,0,NONE,DD
Blennospora drummondii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022214425,NA,0.004149378,LOW,LOW
Blennospora phlegmatocarpa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013964587,NA,0,LOW,DD
Blepharocarya depauperata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blepharocarya involucrigera,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001247244,NA,0,LOW,DD
Blumea axillaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001727633,NA,0,LOW,DD
Blumea benthamiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.16E-05,NA,0,LOW,DD
Blumea diffusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05E-05,NA,0,NONE,DD
Blumea integrifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blumea lacera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.064058413,NA,0,LOW,DD
Blumea milnei,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Blumea psammophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blumea pungens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Blumea riparia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Blumea riparia f. riparia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Blumea saxatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.76E-04,NA,0.001964637,LOW,DD
Blumea tenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.59E-06,NA,0,LOW,DD
Blyxa aubertii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001088709,NA,0,LOW,DD
Blyxa aubertii var. aubertii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.85E-06,NA,0,LOW,DD
Blyxa aubertii var. echinosperma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.29E-05,NA,0,NONE,DD
Blyxa octandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.68E-04,NA,0,LOW,DD
Bobea myrtoides,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.008421131,NA,0,LOW,DD
Boea hygroscopica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001783794,NA,0,LOW,DD
Boea kinnearii,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9.50E-04,NA,0,NONE,DD
Boehmeria australis subsp. australis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NONE,NONE
Boehmeria macrophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.220569852,NA,0.142857143,LOW,DD
Boehmeria sp. Eungella (C.T.White 12994),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Boehmeria virgata var. austroqueenslandica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.209650646,NA,0.166666667,LOW,DD
Boerhavia albiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.89E-05,NA,0,LOW,DD
Boerhavia burbidgeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.96E-05,NA,0,LOW,DD
Boerhavia coccinea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002400393,NA,0,LOW,DD
Boerhavia diffusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026869494,NA,0,LOW,DD
Boerhavia dominii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017018584,NA,0.003952569,LOW,DD
Boerhavia gardneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Boerhavia mutabilis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00311051,NA,0,LOW,DD
Boerhavia paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.59E-05,NA,0,LOW,DD
Boerhavia repens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Boerhavia repleta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.10E-05,NA,0,LOW,DD
Boerhavia schomburgkiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.89E-05,NA,0,LOW,DD
Boerhavia sp. Bargara (L.Pedley 5382),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00619694,NA,0,LOW,DD
Boerhavia sp. St George (A.Hill AQ399299),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.04E-04,NA,0,LOW,DD
Boerhavia sp. Winton (D.Halford Q289),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,DD,DD
Bolbitis heteroclita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,DD,NONE
Bolbitis quoyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.62E-04,NA,0,LOW,DD
Bolbitis taylorii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.004279474,NA,0,LOW,DD
Bolboschoenus caldwellii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.021537769,NA,0.007712082,LOW,DD
Bolboschoenus fluviatilis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.073508595,NA,0.039215686,LOW,DD
Bolboschoenus medianus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.043243579,NA,0.024193548,LOW,DD
Bombax ceiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bombax ceiba var. leiocarpum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.54E-04,NA,0,LOW,DD
Bonamia alatisemina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia brevifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia deserticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia dietrichiana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.003749426,NA,0,LOW,DD
Bonamia erecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.46E-06,NA,0,LOW,DD
Bonamia fruticosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia longipilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.01E-05,NA,0,LOW,DD
Bonamia media var. media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia media var. villosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia multiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia oblongifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Bonamia pannosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonamia pilbarensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Bonamia rosea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.49E-05,NA,0,LOW,DD
Bonamia sp. Croydon (K.R.McDonald KRM4000),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Bonamia toniae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Bonamia wilsoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonnaya antipoda,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.003991912,NA,0,LOW,DD
Bonnaya ciliata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.84E-04,NA,0,LOW,DD
Bonnaya ciliata subsp. ciliata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Bonnaya cowiei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Boronia acanthoclada,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.975624979,NA,1,NONE,NONE
Boronia adamsiana,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005120424,0.006515163,0,NONE,NONE
Boronia alata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.021854454,NA,0,LOW,DD
Boronia albiflora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.034886717,NA,0.047058824,LOW,DD
Boronia algida,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.302851926,NA,0.582802548,MEDIUM,DD
Boronia alulata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Boronia amabilis,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.021875,NA,0,NONE,DD
Boronia amplectens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Boronia anceps,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00174944,NA,0,LOW,DD
Boronia anemonifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.253515365,NA,0.307692308,MEDIUM,DD
Boronia anemonifolia subsp. anemonifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.244002774,NA,0.462962963,MEDIUM,DD
Boronia anemonifolia subsp. aurifodina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.54E-04,NA,0,LOW,DD
Boronia anemonifolia subsp. variabilis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.208668795,NA,0.179577465,LOW,MEDIUM
Boronia anemonifolia subsp. wadbilligensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.648281254,NA,0.916666667,MEDIUM,DD
Boronia anethifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.194611871,NA,0.408805031,MEDIUM,DD
Boronia angustisepala,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.256379482,NA,0.350877193,MEDIUM,MEDIUM
Boronia anomala,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia baeckeacea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia baeckeacea subsp. baeckeacea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.107936749,NA,0.065573771,LOW,DD
Boronia baeckeacea subsp. patula,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0225,NA,0,LOW,DD
Boronia barkeriana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.050489162,NA,0.2,MEDIUM,DD
Boronia barkeriana subsp. angustifolia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.515449738,NA,0.392156863,LOW,DD
Boronia barkeriana subsp. barkeriana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.662660763,NA,0.705882353,LOW,DD
Boronia barrettiorum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia beeronensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Boronia bella,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Boronia bipinnata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.012141771,NA,0.011363636,LOW,DD
Boronia boliviensis,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.149791669,NA,0.0625,LOW,LOW
Boronia bowmanii,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,NONE,NONE
Boronia busselliana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.017714749,NA,0,LOW,DD
Boronia capitata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.037902542,NA,0,LOW,DD
Boronia capitata subsp. capitata,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NONE,NONE
Boronia capitata subsp. clavata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.71E-04,NA,0,LOW,DD
Boronia capitata subsp. gracilis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02175023,NA,0,LOW,DD
Boronia chartacea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.597827627,NA,0.321428571,MEDIUM,HIGH
Boronia citrata,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,NONE,NONE
Boronia citriodora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.006098993,NA,0,LOW,DD
Boronia citriodora subsp. citriodora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.007758551,NA,0,LOW,DD
Boronia citriodora subsp. orientalis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.002083333,NA,0,NONE,NONE
Boronia citriodora subsp. paulwilsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.001229469,NA,0,NONE,DD
Boronia clavata,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.82E-04,0,0,NONE,NONE
Boronia coerulescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023418765,NA,0.013071895,LOW,DD
Boronia coerulescens subsp. coerulescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.021312418,NA,0.010676157,LOW,DD
Boronia coerulescens subsp. spicata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.034059699,NA,0.03125,LOW,DD
Boronia coerulescens subsp. spinescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.016981798,NA,0.036231884,LOW,DD
Boronia coriacea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.477499992,NA,0.333333333,LOW,DD
Boronia corynophylla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.204374999,NA,0,MEDIUM,DD
Boronia crassifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.045089343,NA,0.040816327,LOW,DD
Boronia crassipes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia cremnophila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia crenulata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.037912154,NA,0.058181818,LOW,DD
Boronia crenulata subsp. crenulata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.018119688,NA,0.181818182,LOW,DD
Boronia crenulata subsp. obtusa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.071943828,NA,0,LOW,DD
Boronia crenulata subsp. pubescens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.014828637,NA,0,LOW,DD
Boronia crenulata subsp. Shark Bay (G.Cockerton 5187),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Boronia crenulata subsp. viminea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.041360442,NA,0.063829787,LOW,DD
Boronia crenulata var. angustifolia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.101142626,NA,0,LOW,DD
Boronia crenulata var. crenulata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.040138517,NA,0.062937063,LOW,DD
Boronia cymosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003114105,NA,0,LOW,DD
Boronia deanei,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75958333,0.818963674,0.75,MEDIUM,DD
Boronia deanei subsp. acutifolia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.739196433,NA,0.222222222,LOW,DD
Boronia deanei subsp. deanei,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.76484375,NA,1,MEDIUM,DD
Boronia decumbens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Boronia defoliata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.024072639,NA,0,LOW,DD
Boronia denticulata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.023598734,NA,0.029126214,LOW,DD
Boronia dichotoma,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03437695,NA,0.053333333,LOW,DD
